"","CAMHB 0.0625ug/mL Nafcillin 1","CAMHB 0.5ug/mL Nafcillin 1","CAMHB 0ug/mL Nafcillin 1","CAMHB 0.0625ug/mL Nafcillin 2","CAMHB 0.5ug/mL Nafcillin 3","CAMHB 0ug/mL Nafcillin 2","CAMHB 0ug/mL Nafcillin 3","CAMHB 0.0625ug/mL Nafcillin 3","CAMHB 0.5ug/mL Nafcillin 2","R10LB 0.031ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 1","R10LB 0ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 2","R10LB 0ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 3","R10LB 0ug/mL Nafcillin 2","R10LB 0.0625ug/mL Nafcillin 2"
"USA300HOU_RS00100",8.28005903211022,8.23904185475834,8.36377776776551,8.26074615482429,8.27837803129086,8.41907972394832,8.32571520053415,8.2950736911306,8.21232045293003,7.9662722367221,8.07746694322737,8.04762940101305,8.09886560663565,7.98698809210484,8.02515094771271,7.99323237899794,8.00028574934857,8.15997136237817
"USA300HOU_RS00105",7.92994347210184,7.88973239073481,8.0346578278122,7.90571149464544,7.90546504320784,8.05740346720375,8.00134006068901,7.97732204087327,7.92549209105845,7.75160709232734,7.76912833823011,7.76056895551462,7.70032777524136,7.69714642470594,7.92798393634039,7.66673533916114,7.7898575310676,7.80464708198291
"USA300HOU_RS00110",7.72616048316404,7.65869338105963,7.79111436388624,7.76242027456428,7.70506305330867,7.78580565805122,7.78608011455475,7.74018872848969,7.6800339451784,7.70676523330658,7.77377464195661,7.62548754961251,7.59088700156901,7.49793856647065,8.01274549303384,7.46016227785507,7.72829650008501,7.83772067437445
"USA300HOU_RS00115",7.83093375999882,7.84298452682608,7.84312728640946,7.85413020199153,7.7867821814853,7.88880556760423,7.94891463393388,7.82102405088487,7.82461126761356,8.05615652851196,8.09264685761139,7.91592630290801,7.90185835082666,7.82835711412168,8.32172043157551,7.7698542327152,7.99044853805455,8.18355842348823
"USA300HOU_RS00120",6.67622299448601,6.76291256340419,6.98562162301478,6.73884094472348,6.77491568521336,6.98246981357715,6.90738181692356,6.76330640092332,6.71474661399567,7.50736381705516,7.56412497952042,7.77693872175903,7.6008592746079,7.51541245059141,7.81075730656457,7.40461582957935,7.65899112794569,7.62534642758925
"USA300HOU_RS00125",6.5552361350423,6.35100315537965,6.76026273025648,6.50512841218032,6.40127299484965,6.77112676484103,6.79394579971542,6.53647319362046,6.3849264971221,6.21048985751366,6.14534108291045,7.15311367740594,6.19223662450591,6.28724974547922,6.94041717624782,6.33434329157605,6.96543689742289,6.19524679436939
"USA300HOU_RS00130",7.35323600326967,7.23284698207443,7.36956611592487,7.10383167959087,7.5027421857067,7.5257943760938,7.22316657428644,7.18784658780256,7.33488487975943,6.69475917656918,6.75649609863081,7.44424535074688,7.00701187871205,7.18601370626788,6.73379462761977,7.15469932562753,7.07239087489855,6.63950504544375
"USA300HOU_RS00135",7.40209731098992,7.38742158106698,7.21396745384156,7.34598827252429,7.30079545389844,7.39180235521704,7.24187105018944,7.4129543413024,7.2490290255751,7.36829914065647,7.22436488161106,7.65541155175248,7.49693900777872,7.61817678316534,7.33577029757154,7.46247829489053,7.40014721705159,7.27149956138952
"USA300HOU_RS00140",6.44097703829441,6.29860864464041,6.61892863630089,6.51129690424082,6.318665837863,6.34384073307942,6.51221315173816,6.48657329536763,6.46339681158639,5.26118567269965,5.26872682788862,5.32916482414311,5.16184645409245,5.24621714362361,5.32689770265779,5.3370777796868,5.12329009138293,5.4461218388898
"USA300HOU_RS00150",7.83272558188249,7.71324711494111,8.3424757579047,7.85621767134365,7.74769400004076,8.18937150278409,8.36452857364108,7.80816281769186,7.86230392960658,7.18757017071827,7.32644483368056,7.32049926978871,7.46137373426315,7.45581231653151,7.00183330159854,7.39041319586577,7.17216052833074,7.2573659331905
